"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
athf_t26_mon_ad_3,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, drug <  4 wks OR 4 wks or more and dosage 1 - 9 mg/day (1)|2, 4 wks or more and dosage 10 - 19 mg/day (2)|3, 4 wks or more and dosage 20 - 39 mg/day (3)|4, 4 wks or more and dosage",,autocomplete,,,,"[athf_t26_mon_medname] = '22' OR [athf_t26_mon_medname] = '40'",y,,,,,
athf_t26_mon_ad_4,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, drug <  4 wks OR 4 wks or more and dosage <  150 mg/day (1)|2, 4 wks or more and dosage 150 - 299 mg/day (2)|3, 4 wks or more and dosage 300 - 449 mg/day (4)|4, 4 wks or more and dosage",,autocomplete,,,,"[athf_t26_mon_medname] = '6'",y,,,,,
athf_t26_mon_ad_5,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, drug <  4 wks  OR 4 wks or more and dosage <  100 mg/day (1)|2, 4 wks or more and dosage 100 - 199 mg/day (2)|3, 4 wks or more and dosage 200 - 299 mg/day (3)|4, 4 wks or more and dosage 300 mg/day or greater (4)",,autocomplete,,,,"[athf_t26_mon_medname] = '23'",y,,,,,
athf_t26_mon_ad_6,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, drug  <   4 wks OR 4 wks or more and dosage  <   25 mg/day (1)|2, 4 wks or more and dosage 25 - 49 mg/day (2)|3, 4 wks or more and dosage 50 - 149 mg/day (3)|4, 4 wks or more and dosage",,autocomplete,,,,"[athf_t26_mon_medname] = '49'",y,,,,,
athf_t26_mon_ad_7,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, less than 4 wks OR 4 wks or more and dosage <  75 mg/day (1)|2, 4 wks or more and dosage 75 - 149 mg/day (2)|3, 4 wks or more and dosage 150 - 299 mg/day (3)|4, 4 wks or more and dosage",,autocomplete,,,,"[athf_t26_mon_medname] = '57'",y,,,,,
athf_t26_mon_ad_8,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, less than 4 wks OR 4 wks or more and dosage <  10 mg/day (1)|2, 4 wks or more and dosage 10 - 19 mg/day (2)|3, 4 wks or more and dosage 20 - 39 mg/day (3)|4, 4 wks or more and dosage",,autocomplete,,,,"[athf_t26_mon_medname] = '9'",y,,,,,
athf_t26_mon_ad_9,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, less than 4 wks OR 4 wks or more and dosage <  15 mg/day (1)|2, 4 wks or more and dosage 15 - 29 mg/day (2)|3, 4 wks or more and dosage 30 - 44 mg/day (3)|4, 4 wks or more and dosage",,autocomplete,,,,"[athf_t26_mon_medname] = '34'",y,,,,,
athf_t26_mon_ad_10,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, less than 4 wks OR 4 wks or more and dosage <  30 mg/day (1)|2, 4 wks or more and dosage 30 - 39 mg/day (3)|3, 4 wks or more and dosage 40 - 59 mg/day (3)|4, 4 wks or more and dosage",,autocomplete,,,,"[athf_t26_mon_medname] = '19'",y,,,,,
athf_t26_mon_ad_11,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, less than 4 wks OR 4 wks or more and dosage <  10 mg/day (1)|3, 4 wks or more and dosage 10 - 19 mg/day (3)|4, 4 wks or more and dosage",,autocomplete,,,,"[athf_t26_mon_medname] = '20'",y,,,,,
athf_t26_mon_ad_12,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, less than 4 wks OR 4 wks or more and dosage <  50 mg/day (1)|2, NA (2)|3, 4 wks or more and dosage 50 -99 (3)|4, 4 wks or more",,autocomplete,,,,"[athf_t26_mon_medname] = '15'",y,,,,,
athf_t26_mon_ad_13,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, drug <  4 wks OR 4 wks or more and dosage <  10 mg/day (1)|2, 4 wks or more and dosage 10-39 mg/day (2)|3, 4 wks or more and dosage",,autocomplete,,,,"[athf_t26_mon_medname] = '58'",y,,,,,
athf_t26_mon_ad_14,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, less than 4 wks OR 4 wks or more and dosage <  5mg/day (1)|1, 4 wks or more dosage 5mg - 9 mg/day (1)|2, 4 wks or more and dosage 10-19 mg/day (2)|3, 4 wks or more and dosage",,autocomplete,,,,"[athf_t26_mon_medname] = '59'",y,,,,,
athf_t26_mon_ad_15,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, less than 4 wks OR 4 wks or more and dosage <  20mg (1)|2, 4 wks or more dosage 20mg - 39mg/day (2)|3, 4 wks or more and dosage 40 - 79mg/day (3)|4, 4 wks or more and dosage",,autocomplete,,,,"[athf_t26_mon_medname] = '28'",y,,,,,
athf_t26_mon_maoi_1,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, drug <  4 wks OR 4 wks or more and dosage <  30 mg/day (1)|2, 4 wks or more and dosage 30 - 59 mg/day (2)|3, 4 wks or more and dosage 60 - 89 mg/day (3)|4, 4 wks or more and dosage",,autocomplete,,,,"[athf_t26_mon_medname] = '42'",y,,,,,
athf_t26_mon_maoi_2,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, less than 4 wks OR 4 wks or more and dosage <  150 mg/day (1)|2, 4 wks or more and dosage 150 - 299 mg/day (2)|3, 4 wks or more and dosage 300 - 599 mg/day (3)|4, 4 wks or more and dosage",,autocomplete,,,,"[athf_t26_mon_medname] = '35'",y,,,,,
athf_t26_mon_maoi_3a,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, drug <  4 wks OR 4 wks or more and dosage <  20 mg/day (1)|2, 4 wks or more and dosage 20 - 39 mg/day (2)|3, 4 wks or more and dosage 40 - 59 mg/day (3)|4, 4 wks or more and dosage 60 mg/day or greater (4)",,autocomplete,,,,"[athf_t26_mon_medname] = '47'",y,,,,,
athf_t26_mon_maoi_3b,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, drug <  4 wks (1)|3, 4 wks or more and dosage 6 or 9 mg/day (3)|4, 4 wks or more and dosage",,autocomplete,,,,"[athf_t26_mon_medname] = '48'",y,,,,,
athf_t26_mon_maoi_4,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, drug <  4 wks OR 4 wks or more and dosage <  20 mg/day (1)|2, 4 wks or more and dosage 20 - 39 mg/day (2)|3, 4 wks or more and dosage 40 - 59 mg/day (3)|4, 4 wks or more and dosage",,autocomplete,,,,"[athf_t26_mon_medname] = '52'",y,,,,,
athf_t26_mon_lith,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, drug <  4 wks (1)|2, 4 wks or more  (2)",,autocomplete,,,,"[athf_t26_mon_medname] = '29'",y,,,,,
athf_t26_mon_ac_1,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, <  4 wks OR 4 wks or more and level <  6 mcg/ml (1)|2, 4 wks or more (2)",,autocomplete,,,,"[athf_t26_mon_medname] = '27'",y,,,,,
athf_t26_mon_benz_1,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, <  4 wks (1)|2, 4 wks or more (2)",,autocomplete,,,,"[athf_t26_mon_medname] = '1'",y,,,,,
athf_t26_mon_ap_1,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, less than 4 wks OR 4 wks or more and dosage <  150 mg/day (1)|2, 4 wks or more and dosage 150-299 mg/day (2)|3, 4 wks or more and dosage 4 wks or more and dosage",,autocomplete,,,,"[athf_t26_mon_medname] = '44'",y,,,,,
athf_t26_mon_ap_4,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, less than 4 wks OR 4 wks or more and dosage <  20mg/day (1)|2, 4 wks or more and dosage",,autocomplete,,,,"[athf_t26_mon_medname] = '31'",y,,,,,
athf_t26_mon_misc_4,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, Less than 4 weeks (any dosage) (1)|2, 4 weeks or more (any dosage) (2)",,autocomplete,,,,"[athf_t26_mon_medname] = '50'",y,,,,,
athf_t26_mon_other,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_mon_medname] Dosage Information ","0, any dosage for any duration (1)",,autocomplete,,,,"[athf_t26_mon_medname] = '46' or [athf_t26_mon_medname] = '63' or [athf_t26_mon_medname] = '12' or [athf_t26_mon_medname] = '30' or [athf_t26_mon_medname] = '51' or [athf_t26_mon_medname] = '21' or [athf_t26_mon_medname] = '62' or [athf_t26_mon_medname] = '13' or [athf_t26_mon_medname] = '33' or [athf_t26_mon_medname] = '41' or [athf_t26_mon_medname] = '5' or [athf_t26_mon_medname] = '64' or [athf_t26_mon_medname] = '66' or [athf_t26_mon_medname] = '67' or [athf_t26_mon_medname] = '69' or [athf_t26_mon_medname] = '72' or [athf_t26_mon_medname] = '75' or [athf_t26_mon_medname] = '76' or [athf_t26_mon_medname] = '79' or [athf_t26_mon_medname] = '80' or [athf_t26_mon_medname] = '81' or [athf_t26_mon_medname] = '83' or [athf_t26_mon_medname] = '84' or [athf_t26_mon_medname] = '86' or [athf_t26_mon_medname] = '89' or [athf_t26_mon_medname] = '90' or [athf_t26_mon_medname] = '91' or [athf_t26_mon_medname] = '93' or [athf_t26_mon_medname] = '95' or [athf_t26_mon_medname] = '96' or [athf_t26_mon_medname] = '97' or [athf_t26_mon_medname] = '99' or [athf_t26_mon_medname] = '100' or [athf_t26_mon_medname] = '103' or [athf_t26_mon_medname] = '104' or [athf_t26_mon_medname] = '39' or [athf_t26_mon_medname] = '4' or  [athf_t26_mon_medname] = '7' or [athf_t26_mon_medname] = '60' or [athf_t26_mon_medname] = '61' or [athf_t26_mon_medname] = '16' or [athf_t26_mon_medname] = '45' or [athf_t26_mon_medname] = '65' or [athf_t26_mon_medname] = '68' or [athf_t26_mon_medname] = '70' or [athf_t26_mon_medname] = '71' or [athf_t26_mon_medname] = '73' or [athf_t26_mon_medname] = '74' or [athf_t26_mon_medname] = '77' or [athf_t26_mon_medname] = '75' or [athf_t26_mon_medname] = '82' or [athf_t26_mon_medname] = '85' or [athf_t26_mon_medname] = '87' or [athf_t26_mon_medname] = '88' or [athf_t26_mon_medname] = '94' or [athf_t26_mon_medname] = '98' or [athf_t26_mon_medname] = '102' or [athf_t26_mon_medname] = '11' or [athf_t26_mon_medname] = '56' or [athf_t26_mon_medname] = '17' or [athf_t26_mon_medname] = '8' or [athf_t26_mon_medname] = '24' or [athf_t26_mon_medname] = '92' or [athf_t26_mon_medname] = '101'",y,,,,,
athf_t26_aug_yesno,athf_form3_if_needed_treatments_2130,,yesno,"Show Instructions/Notes for Augmentation Therapy?",,,,,,,"[athf_t26_type] = '2'",,,,,,
athf_t26_aug_warning,athf_form3_if_needed_treatments_2130,,descriptive,"
<font size=4><b><u><font color=brown>Augmentation Therapy 
</font size=4></b></u></font color=brown>
Some patients will have taken medications that qualify as a combination/ augmentation trial.  
1) In general, an antidepressant monotherapy trial will precede the addition of an augmentation agent. The antidepressant monotherapy trial should be rated alone.   
2) Only specified antipsychotics <font color=brown> (i.e., aripiprazole, quetiapine, olanzapine, brexiprazole) </font color=brown> and lithium are considered augmenting agents.
3) <u>DO NOT </u> rate the antipsychotic or lithium trials alone (unless they were taken alone --i.e., without an antidepressant). Instead, input both the antidepressant and the augmentation agent as a standalone trial with the duration that the two medications were taken together at their maximum doses.  
4) In the scenario where an antidepressant and an eligible augmentation agent were started at the same time, rate the augmentation trial only and do not rate the antidepressant alone.  
5) If two antidepressants are taken in combination this does not constitute an augmentation trial and each antidepressant should be rated alone (i.e., a patient taking venlafaxine and mirtazapine together is considered to have received two separate antidepressant trials). 
6) If <font color=brown>ECT</font color=brown> and medications are given simultaneously, <u>this does not constitute a combination/augmentation trial. </u>  Each should be rated separately.
7) If  <font color=brown>rTMS </font color=brown> and medications are given simultaneously, <u>this does not constitute a combination/augmentation trial. </u>  Each should be rated separately.
8) If medication and <font color=brown> psychotherapy</font color=brown> occurred together rate each alone. <u>This does not constitute an augmentation trial.</u>
9) Combination of antidepressant with <font color=brown>lamotrigine</font color=brown> <u>does not constitute an augmentation trial.</u>
10) Combination of antidepressant with <font color=brown> lurasidone </font color=brown> <u>does not constitute an augmentation trial.</u>",,,,,,,"[athf_t26_aug_yesno] = '1'",,,,,,
athf_t26_aug_agent,athf_form3_if_needed_treatments_2130,,dropdown,"Augmentation Agent:","1, Lithium|2, Quetiapine (Seroquel)|3, Aripiprazole (Abilify)|4, Olanzapine|5, Brexpiprazole (Rexulti)",,autocomplete,,,,"[athf_t26_type] = '2'",y,,,,,
athf_t26_aug_agent_dose,athf_form3_if_needed_treatments_2130,,text,"[athf_t26_aug_agent] Dose",,"in mg/day",number,,,,"[athf_t26_aug_agent] <> ''",y,,,,,
athf_t26_aug_agent_duration,athf_form3_if_needed_treatments_2130,,dropdown,"[athf_t26_aug_agent] Duration","1, <  4 weeks|2,",,autocomplete,,,,"[athf_t26_aug_agent] <> ''",y,,,,,
athf_t26_aug_lithium,athf_form3_if_needed_treatments_2130,,radio,"[athf_t26_aug_agent] Dosage and ATHF Score","1, antidepressant drugs rated level 3 or 4, AND Li for <  4 wks (1)|4, antidepressant drugs rated level 3 AND Li for at least 4 wks (4)|5, antidepressant drugs rated level 4 AND Li for at least 4 wks (5)",,,,,,"[athf_t26_aug_agent] = '1'",y,,,,,
athf_t26_aug_quetiapine,athf_form3_if_needed_treatments_2130,,radio,"[athf_t26_aug_agent] Dosage and ATHF Score","1, antidepressant drugs rated level 3 or 4 AND quetiapine for <  4 wks (1)|4, antidepressant drugs rated level 3 AND quetiapine",,,,,,"[athf_t26_aug_agent] = '2'",y,,,,,
athf_t26_aug_aripi,athf_form3_if_needed_treatments_2130,,radio,"[athf_t26_aug_agent] Dosage and ATHF Score","1, antidepressant drugs rated level 3 or 4 AND aripiprazole for <  4 wks (1)|4, antidepressant drugs rated level 3 AND aripiprazole",,,,,,"[athf_t26_aug_agent] = '3'",y,,,,,
athf_t26_aug_olanz,athf_form3_if_needed_treatments_2130,,radio,"[athf_t26_aug_agent] Dosage and ATHF Score","1, antidepressant drugs rated level 3 or 4 AND olanzapine for <  4 wks (1)|4, antidepressant drugs rated level 3 AND olanzapine",,,,,,"[athf_t26_aug_agent] = '4'",y,,,,,
athf_t26_aug_brexzole,athf_form3_if_needed_treatments_2130,,radio,"[athf_t26_aug_agent] Dosage and ATHF Score","1, antidepressant drugs rated level 3 or 4 AND brexipiprazole for <  4 wks (1)|4, antidepressant drugs rated level 3 AND brexipiprazole",,,,,,"[athf_t26_aug_agent] = '5'",y,,,,,
athf_t26_ect,athf_form3_if_needed_treatments_2130,,notes,"
<font size =3> <font color=brown> ECT Trial Details ",,"<font size=2> ECT treatment information will be rare, but if part of treatment for current episode, record as much information as you can obtain.  Usually you will need to review medical records. Record whether the stimulation was unilateral, bilateral/bifrontal and the total number of treatments received for each modality.",,,,,"[athf_t26_type] = '3'",,LV,,,,
athf_t26_ect_type,athf_form3_if_needed_treatments_2130,,radio,"Type of ECT ","1, Unilateral|2, Bilateral/ Bifrontal",,,,,,"[athf_t26_type] = '3'",y,,,,,
athf_t26_ect_score_uni,athf_form3_if_needed_treatments_2130,,dropdown,"ECT Adequacy Score ","1, 1 - 3 ECT (1)|2, 4 - 6 ECT (2)|3, 7 - 9 ECT (3)|4, 10 -12 ECT (4)|5, 13 or more ECT (5)",,autocomplete,,,,"[athf_t26_ect_type] = '1'",y,,,,,
athf_t26_ect_score_bi,athf_form3_if_needed_treatments_2130,,dropdown,"ECT Adequacy Score ","1, 1 - 3 ECT (1)|2, 4 - 6 ECT (2)|4, 7 - 9 ECT (4)|5, 10 -12 ECT (5)|6, 13 or more ECT (5)","A point is added to an ECT trial if the patient has > 7 adequate bilateral treatments. The highest rating is a 5",autocomplete,,,,"[athf_t26_ect_type] = '2'",y,,,,,
athf_t26_rtms_details,athf_form3_if_needed_treatments_2130,,notes,"
<font size =3> <font color=brown> rTMS Trial Details ",,"<font size=2>If the patient has had rTMS in the current episode, record whether the stimulation was left sided, right sided, or both, and the total number of treatments received with all modalities. ",,,,,"[athf_t26_type] = '4'",,LV,,,,
athf_t26_rtms,athf_form3_if_needed_treatments_2130,,dropdown,"rTMS Adequacy Score","1, Less than 3 treatments per week OR 14 or less treatments (1)|2, At least 3 treatments per week and 15-19 treatments (2)|3, At least 3 treatments per week and 20-29 treatments (3)|4, At least 3 treatments per week and 30 treatments or more (4)",,autocomplete,,,,"[athf_t26_type] = '4'",y,,,,,
athf_t26_psyther_type,athf_form3_if_needed_treatments_2130,,radio,"Type of Psychotherapy","1, Cognitive Behavioral Therapy (CBT)|2, Interpersonal Psychotherapy|3, Problem Solving Therapy|4, Other psychotherapy",,,,,,"[athf_t26_type] = '5'",y,,,,,
athf_t26_psyther_score,athf_form3_if_needed_treatments_2130,,dropdown,"Cognitive Behavioral Therapy (CBT) Adequacy Score ","1, Less than 8 sessions (1)|3, 8-11 sessions (3)|4, > 12 sessions (4)",,autocomplete,,,,"[athf_t26_psyther_type] = '1'",y,,,,,
athf_t26_intpther_score,athf_form3_if_needed_treatments_2130,,dropdown,"Interpersonal Psychotherapy Adequacy Score 

","1, Less than 8 sessions (1)|3, 8-11 sessions (3)|4, > 12 session (4)",,autocomplete,,,,"[athf_t26_psyther_type] = '2'",y,,,,,
athf_t26_problemther_score,athf_form3_if_needed_treatments_2130,,dropdown,"Problem Solving Therapy Adequecy Score","1, Less than 8 sessions (1)|3, 8-11 sessions (3)|4, > 12 sessions (4)",,autocomplete,,,,"[athf_t26_psyther_type] = '3'",y,,,,,
athf_t26_othpsyther_score,athf_form3_if_needed_treatments_2130,,dropdown,"Other Psychotherapy Adequacy Score ","1, Less than 8 sessions (1)|2, 8 sessions or more (2)",,autocomplete,,,,"[athf_t26_psyther_type] = '4'",y,,,,,
athf_t26_confidence,athf_form3_if_needed_treatments_2130,,dropdown,"Confidence Rating of Trial","1, Low|2, Moderate|3, Strong",,autocomplete,,,,"[athf_t26_addtrial] = '1'",y,,,,,
athf_t26_conf_yesno,athf_form3_if_needed_treatments_2130,,yesno,"Would like to view information on how to determine ""Confidence Rating""?",,,,,,,"[athf_t26_addtrial] = '1'",,,,,,
athf_t26_conf_instructions,athf_form3_if_needed_treatments_2130,,descriptive,"
<font size=2><font color=brown><b><u> Low Confidence Rating: </font color=brown></b></u>
Information is marginal.  Some contradictions in  information or doubt exists regarding dose, duration, or compliance.                 

<font size=2><font color=brown><b><u> Moderate Confidence Rating:</font color=brown></b></u>
Adequate information is available but based  largely on one source that appears reliable.  Areas of doubt not critical in rating. 

<font size=2><font color=brown><b><u> Strong Confidence Rating:</font color=brown></b></u>
Adequate information available from more than one  reliable source without significant discrepancy regarding dose, duration, or  compliance.
",,,,,,,"[athf_t26_conf_yesno] = '1'",,,,,,
athf_t26_score,athf_form3_if_needed_treatments_2130,,calc,"ATHF Score","if([athf_t26_addtrial]<>'1','',if([athf_t26_mon_ha_dose_1]=""1"" OR [athf_t26_mon_ha_dose_1]=""2"" OR [athf_t26_mon_ha_dose_1]=""NaN"",""0"",[athf_t26_mon_ha_dose_1])+if([athf_t26_mon_ha_drug_1]=""1"" OR [athf_t26_mon_ha_drug_1]=""2"" OR [athf_t26_mon_ha_drug_1]=""NaN"",""0"",[athf_t26_mon_ha_drug_1]) +if([athf_t26_mon_ha_dose_2]=""1"" OR [athf_t26_mon_ha_dose_2]=""2"" OR [athf_t26_mon_ha_dose_2]=""NaN"",""0"",[athf_t26_mon_ha_dose_2]) +if([athf_t26_mon_ha_drug_2]=""1"" OR [athf_t26_mon_ha_drug_2]=""2"" OR [athf_t26_mon_ha_drug_2]=""NaN"",""0"",[athf_t26_mon_ha_drug_2])+if([athf_t26_mon_ha_3]=""1"" OR [athf_t26_mon_ha_3]=""2"" OR [athf_t26_mon_ha_3]=""NaN"",""0"",[athf_t26_mon_ha_3]) +if([athf_t26_mon_ad_1]=""1"" OR [athf_t26_mon_ad_1]=""2"" OR [athf_t26_mon_ad_1]=""NaN"",""0"",[athf_t26_mon_ad_1]) +if([athf_t26_mon_ad_2]=""1"" OR [athf_t26_mon_ad_2]=""2"" OR [athf_t26_mon_ad_2]=""NaN"",""0"",[athf_t26_mon_ad_2]) +if([athf_t26_mon_ad_3]=""1"" OR [athf_t26_mon_ad_3]=""2"" OR [athf_t26_mon_ad_3]=""NaN"",""0"",[athf_t26_mon_ad_3]) +if([athf_t26_mon_ad_4]=""1"" OR [athf_t26_mon_ad_4]=""2"" OR [athf_t26_mon_ad_4]=""NaN"",""0"",[athf_t26_mon_ad_4]) +if([athf_t26_mon_ad_5]=""1"" OR [athf_t26_mon_ad_5]=""2"" OR [athf_t26_mon_ad_5]=""NaN"",""0"",[athf_t26_mon_ad_5]) +if([athf_t26_mon_ad_6]=""1"" OR [athf_t26_mon_ad_6]=""2"" OR [athf_t26_mon_ad_6]=""NaN"",""0"",[athf_t26_mon_ad_6]) +if([athf_t26_mon_ad_7]=""1"" OR [athf_t26_mon_ad_7]=""2"" OR [athf_t26_mon_ad_7]=""NaN"",""0"",[athf_t26_mon_ad_7]) +if([athf_t26_mon_ad_8]=""1"" OR [athf_t26_mon_ad_8]=""2"" OR [athf_t26_mon_ad_8]=""NaN"",""0"",[athf_t26_mon_ad_8]) +if([athf_t26_mon_ad_9]=""1"" OR [athf_t26_mon_ad_9]=""2"" OR [athf_t26_mon_ad_9]=""NaN"",""0"",[athf_t26_mon_ad_9]) +if([athf_t26_mon_ad_10]=""1"" OR [athf_t26_mon_ad_10]=""2"" OR [athf_t26_mon_ad_10]=""NaN"",""0"",[athf_t26_mon_ad_10]) +if([athf_t26_mon_ad_11]=""1"" OR [athf_t26_mon_ad_11]=""2"" OR [athf_t26_mon_ad_11]=""NaN"",""0"",[athf_t26_mon_ad_11]) +if([athf_t26_mon_ad_12]=""1"" OR [athf_t26_mon_ad_12]=""2"" OR [athf_t26_mon_ad_12]=""NaN"",""0"",[athf_t26_mon_ad_12]) +if([athf_t26_mon_ad_13]=""1"" OR [athf_t26_mon_ad_13]=""2"" OR [athf_t26_mon_ad_13]=""NaN"",""0"",[athf_t26_mon_ad_13]) +if([athf_t26_mon_ad_14]=""1"" OR [athf_t26_mon_ad_14]=""2"" OR [athf_t26_mon_ad_14]=""NaN"",""0"",[athf_t26_mon_ad_14]) +if([athf_t26_mon_ad_15]=""1"" OR [athf_t26_mon_ad_15]=""2"" OR [athf_t26_mon_ad_15]=""NaN"",""0"",[athf_t26_mon_ad_15]) +if([athf_t26_mon_maoi_1]=""1"" OR [athf_t26_mon_maoi_1]=""2"" OR [athf_t26_mon_maoi_1]=""NaN"",""0"",[athf_t26_mon_maoi_1]) +if([athf_t26_mon_maoi_2]=""1"" OR [athf_t26_mon_maoi_2]=""2"" OR [athf_t26_mon_maoi_2]=""NaN"",""0"",[athf_t26_mon_maoi_2]) +if([athf_t26_mon_maoi_3a]=""1"" OR [athf_t26_mon_maoi_3a]=""2"" OR [athf_t26_mon_maoi_3a]=""NaN"",""0"",[athf_t26_mon_maoi_3a]) +if([athf_t26_mon_maoi_3b]=""1"" OR [athf_t26_mon_maoi_3b]=""2"" OR [athf_t26_mon_maoi_3b]=""NaN"",""0"",[athf_t26_mon_maoi_3b]) +if([athf_t26_mon_maoi_4]=""1"" OR [athf_t26_mon_maoi_4]=""2"" OR [athf_t26_mon_maoi_4]=""NaN"",""0"",[athf_t26_mon_maoi_4]) +if([athf_t26_mon_lith]=""1"" OR [athf_t26_mon_lith]=""2"" OR [athf_t26_mon_lith]=""NaN"",""0"",[athf_t26_mon_lith])+if([athf_t26_mon_ac_1]=""1"" OR [athf_t26_mon_ac_1]=""2"" OR [athf_t26_mon_ac_1]=""NaN"",""0"",[athf_t26_mon_ac_1]) +if([athf_t26_mon_benz_1]=""1"" OR [athf_t26_mon_benz_1]=""2"" OR [athf_t26_mon_benz_1]=""NaN"",""0"",[athf_t26_mon_benz_1]) +if([athf_t26_mon_ap_1]=""1"" OR [athf_t26_mon_ap_1]=""2"" OR [athf_t26_mon_ap_1]=""NaN"",""0"",[athf_t26_mon_ap_1]) +if([athf_t26_mon_ap_4]=""1"" OR [athf_t26_mon_ap_4]=""2"" OR [athf_t26_mon_ap_4]=""NaN"",""0"",[athf_t26_mon_ap_4])+if([athf_t26_mon_misc_4]=""1"" OR [athf_t26_mon_misc_4]=""2"" OR [athf_t26_mon_misc_4]=""NaN"",""0"",[athf_t26_mon_misc_4]) +if([athf_t26_aug_lithium]=""1"" OR [athf_t26_aug_lithium]=""2"" OR [athf_t26_aug_lithium]=""NaN"",""0"",[athf_t26_aug_lithium])+if([athf_t26_aug_quetiapine]=""1"" OR [athf_t26_aug_quetiapine]=""2"" OR [athf_t26_aug_quetiapine]=""NaN"",""0"",[athf_t26_aug_quetiapine])+if([athf_t26_aug_aripi]=""1"" OR [athf_t26_aug_aripi]=""2"" OR [athf_t26_aug_aripi]=""NaN"",""0"",[athf_t26_aug_aripi])+if([athf_t26_aug_olanz]=""1"" OR [athf_t26_aug_olanz]=""2"" OR [athf_t26_aug_olanz]=""NaN"",""0"",[athf_t26_aug_olanz])+if([athf_t26_aug_brexzole]=""1"" OR [athf_t26_aug_brexzole]=""2"" OR [athf_t26_aug_brexzole]=""NaN"",""0"",[athf_t26_aug_brexzole])+if([athf_t26_ect_score_uni]=""1"" OR [athf_t26_ect_score_uni]=""2"" OR [athf_t26_ect_score_uni]=""NaN"",""0"",[athf_t26_ect_score_uni])+if([athf_t26_ect_score_bi]=""1"" OR [athf_t26_ect_score_bi]=""2"" OR [athf_t26_ect_score_bi]=""NaN"",""0"",if([athf_t26_ect_score_bi]=""6"",""5"",[athf_t26_ect_score_bi]))+if([athf_t26_rtms]=""1"" OR [athf_t26_rtms]=""2"" OR [athf_t26_rtms]=""NaN"",""0"",[athf_t26_rtms])+if([athf_t26_psyther_score]=""1"" OR [athf_t26_psyther_score]=""2"" OR [athf_t26_psyther_score]=""NaN"",""0"",[athf_t26_psyther_score])+if([athf_t26_intpther_score]=""1"" OR [athf_t26_intpther_score]=""2"" OR [athf_t26_intpther_score]=""NaN"",""0"",[athf_t26_intpther_score])+if([athf_t26_problemther_score]=""1"" OR [athf_t26_problemther_score]=""2"" OR [athf_t26_problemther_score]=""NaN"",""0"",[athf_t26_problemther_score])+if([athf_t26_othpsyther_score]=""1"" OR [athf_t26_othpsyther_score]=""2"" OR [athf_t26_othpsyther_score]=""NaN"",""0"",[athf_t26_othpsyther_score]))",,,,,,"[athf_t26_addtrial] = '1'",,,,,,
athf_t27_addtrial,athf_form3_if_needed_treatments_2130,,yesno,"Add another trial?",,,,,,,"[athf_t26_addtrial] = '1'",y,,,,,
